Name,Typing,Size,Abilities,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total Base Stats
Kyogre-Primal,WATER,"9.8 m, 430 kg",Primordial Sea,100,150,90,180,160,90,770
Groudon,GROUND,"3.5 m, 950 kg",Drought,100,150,140,100,90,90,670
Groudon-Primal,"GROUND,FIRE","5 m, 999.7 kg",Desolate Land,100,180,160,150,90,90,770
Rayquaza,"DRAGON,FLYING","7 m, 206.5 kg",Air Lock,105,150,90,150,90,95,680
Rayquaza-Mega,"DRAGON,FLYING","10.8 m, 392 kg",Delta Stream,105,180,100,180,100,115,780
Jirachi,"STEEL,PSYCHIC","0.3 m, 1.1 kg",Serene Grace,100,100,100,100,100,100,600
Deoxys,PSYCHIC,"1.7 m, 60.8 kg",Pressure,50,150,50,150,50,150,600
Deoxys-Attack,PSYCHIC,"1.7 m, 60.8 kg",Pressure,50,180,20,180,20,150,600
Deoxys-Defense,PSYCHIC,"1.7 m, 60.8 kg",Pressure,50,70,160,70,160,90,600
Deoxys-Speed,PSYCHIC,"1.7 m, 60.8 kg",Pressure,50,95,90,95,90,180,600
Turtwig,GRASS,"0.4 m, 10.2 kg","Overgrow,Shell Armor",55,68,64,45,55,31,318
Grotle,GRASS,"1.1 m, 97 kg","Overgrow,Shell Armor",75,89,85,55,65,36,405
Torterra,"GRASS,GROUND","2.2 m, 310 kg","Overgrow,Shell Armor",95,109,105,75,85,56,525
Chimchar,FIRE,"0.5 m, 6.2 kg","Blaze,Iron Fist",44,58,44,58,44,61,309
Monferno,"FIRE,FIGHTING","0.9 m, 22 kg","Blaze,Iron Fist",64,78,52,78,52,81,405
Infernape,"FIRE,FIGHTING","1.2 m, 55 kg","Blaze,Iron Fist",76,104,71,104,71,108,534
Piplup,WATER,"0.4 m, 5.2 kg","Torrent,Defiant",53,51,53,61,56,40,314
Prinplup,WATER,"0.8 m, 23 kg","Torrent,Defiant",64,66,68,81,76,50,405
Empoleon,"WATER,STEEL","1.7 m, 84.5 kg","Torrent,Defiant",84,86,88,111,101,60,530
Starly,"NORMAL,FLYING","0.3 m, 2 kg","Keen Eye,Reckless",40,55,30,30,30,60,245
Staravia,"NORMAL,FLYING","0.6 m, 15.5 kg","Intimidate,Reckless",55,75,50,40,40,80,340
Staraptor,"NORMAL,FLYING","1.2 m, 24.9 kg","Intimidate,Reckless",85,120,70,50,60,100,485
Bidoof,NORMAL,"0.5 m, 20 kg","Simple,Unaware,Moody",59,45,40,35,40,31,250
Bibarel,"NORMAL,WATER","1 m, 31.5 kg","Simple,Unaware,Moody",79,85,60,55,60,71,410
Kricketot,BUG,"0.3 m, 2.2 kg","Shed Skin,Run Away",37,25,41,25,41,25,194
Kricketune,BUG,"1 m, 25.5 kg","Swarm,Technician",77,85,51,55,51,65,384
Shinx,ELECTRIC,"0.5 m, 9.5 kg","Rivalry,Intimidate,Guts",45,65,34,40,34,45,263
Luxio,ELECTRIC,"0.9 m, 30.5 kg","Rivalry,Intimidate,Guts",60,85,49,60,49,60,363
Luxray,ELECTRIC,"1.4 m, 42 kg","Rivalry,Intimidate,Guts",80,120,79,95,79,70,523
Budew,"GRASS,POISON","0.2 m, 1.2 kg","Natural Cure,Poison Point,Leaf Guard",40,30,35,50,70,55,280
Roserade,"GRASS,POISON","0.9 m, 14.5 kg","Natural Cure,Poison Point,Technician",60,70,65,125,105,90,515
Cranidos,ROCK,"0.9 m, 31.5 kg","Mold Breaker,Sheer Force",67,125,40,30,30,58,350
Rampardos,ROCK,"1.6 m, 102.5 kg","Mold Breaker,Sheer Force",97,165,60,65,50,58,495
Shieldon,"ROCK,STEEL","0.5 m, 57 kg","Sturdy,Soundproof",30,42,118,42,88,30,350
Bastiodon,"ROCK,STEEL","1.3 m, 149.5 kg","Sturdy,Soundproof",60,52,168,47,138,30,495
Burmy,BUG,"0.2 m, 3.4 kg","Shed Skin,Overcoat",40,29,45,29,45,36,224
Wormadam,"BUG,GRASS","0.5 m, 6.5 kg","Anticipation,Overcoat",60,59,85,79,105,36,424
Wormadam-Sandy,"BUG,GROUND","0.5 m, 6.5 kg","Anticipation,Overcoat",60,79,105,59,85,36,424
Wormadam-Trash,"BUG,STEEL","0.5 m, 6.5 kg","Anticipation,Overcoat",60,69,95,69,95,36,424
Mothim,"BUG,FLYING","0.9 m, 23.3 kg","Swarm,Tinted Lens",70,94,50,94,50,66,424
Combee,"BUG,FLYING","0.3 m, 5.5 kg","Honey Gather,Hustle",30,30,42,30,42,70,244
Vespiquen,"BUG,FLYING","1.2 m, 38.5 kg","Pressure,Unnerve",70,80,102,80,102,40,474
Pachirisu,ELECTRIC,"0.4 m, 3.9 kg","Run Away,Pickup,Volt Absorb",60,45,70,45,90,95,405
Buizel,WATER,"0.7 m, 29.5 kg","Swift Swim,Water Veil",55,65,35,60,30,85,330
Floatzel,WATER,"1.1 m, 33.5 kg","Swift Swim,Water Veil",85,105,55,85,50,115,495
Cherubi,GRASS,"0.4 m, 3.3 kg",Chlorophyll,45,35,45,62,53,35,275
Cherrim,GRASS,"0.5 m, 9.3 kg",Flower Gift,70,60,70,87,78,85,450
Cherrim-Sunshine,GRASS,"0.5 m, 9.3 kg",Flower Gift,70,60,70,87,78,85,450
Shellos,WATER,"0.3 m, 6.3 kg","Sticky Hold,Storm Drain,Sand Force",76,48,48,57,62,34,325
Gastrodon,"WATER,GROUND","0.9 m, 29.9 kg","Sticky Hold,Storm Drain,Sand Force",111,83,68,92,82,39,475
Ambipom,NORMAL,"1.2 m, 20.3 kg","Technician,Pickup,Skill Link",75,100,66,60,66,115,482
Drifloon,"GHOST,FLYING","0.4 m, 1.2 kg","Aftermath,Unburden,Flare Boost",90,50,34,60,44,70,348
Drifblim,"GHOST,FLYING","1.2 m, 15 kg","Aftermath,Unburden,Flare Boost",150,80,44,90,54,80,498
Buneary,NORMAL,"0.4 m, 5.5 kg","Run Away,Klutz,Limber",55,66,44,44,56,85,350
Lopunny,NORMAL,"1.2 m, 33.3 kg","Cute Charm,Klutz,Limber",65,76,84,54,96,105,480
Lopunny-Mega,"NORMAL,FIGHTING","1.3 m, 28.3 kg",Scrappy,65,136,94,54,96,135,580
Mismagius,GHOST,"0.9 m, 4.4 kg",Levitate,60,60,60,105,105,105,495
Honchkrow,"DARK,FLYING","0.9 m, 27.3 kg","Insomnia,Super Luck,Moxie",100,125,52,105,52,71,505
Glameow,NORMAL,"0.5 m, 3.9 kg","Limber,Own Tempo,Keen Eye",49,55,42,42,37,85,310
Purugly,NORMAL,"1 m, 43.8 kg","Thick Fat,Own Tempo,Defiant",71,82,64,64,59,112,452
Chingling,PSYCHIC,"0.2 m, 0.6 kg",Levitate,45,30,50,65,50,45,285
Stunky,"POISON,DARK","0.4 m, 19.2 kg","Stench,Aftermath,Keen Eye",63,63,47,41,41,74,329
Skuntank,"POISON,DARK","1 m, 38 kg","Stench,Aftermath,Keen Eye",103,93,67,71,61,84,479
Bronzor,"STEEL,PSYCHIC","0.5 m, 60.5 kg","Levitate,Heatproof,Heavy Metal",57,24,86,24,86,23,300
Bronzong,"STEEL,PSYCHIC","1.3 m, 187 kg","Levitate,Heatproof,Heavy Metal",67,89,116,79,116,33,500
Bonsly,ROCK,"0.5 m, 15 kg","Sturdy,Rock Head,Rattled",50,80,95,10,45,10,290
Mime Jr.,"PSYCHIC,FAIRY","0.6 m, 13 kg","Soundproof,Filter,Technician",20,25,45,70,90,60,310
Happiny,NORMAL,"0.6 m, 24.4 kg","Natural Cure,Serene Grace,Friend Guard",100,5,5,15,65,30,220
Chatot,"NORMAL,FLYING","0.5 m, 1.9 kg","Keen Eye,Tangled Feet,Big Pecks",76,65,45,92,42,91,411
Spiritomb,"GHOST,DARK","1 m, 108 kg","Pressure,Infiltrator",50,92,108,92,108,35,485
Gible,"DRAGON,GROUND","0.7 m, 20.5 kg","Sand Veil,Rough Skin",58,70,45,40,45,42,300
Gabite,"DRAGON,GROUND","1.4 m, 56 kg","Sand Veil,Rough Skin",68,90,65,50,55,82,410
Garchomp,"DRAGON,GROUND","1.9 m, 95 kg","Sand Veil,Rough Skin",108,130,95,80,85,102,600
Garchomp-Mega,"DRAGON,GROUND","1.9 m, 95 kg",Sand Force,108,170,115,120,95,92,700
Munchlax,NORMAL,"0.6 m, 105 kg","Pickup,Thick Fat,Gluttony",135,85,40,40,85,5,390
Riolu,FIGHTING,"0.7 m, 20.2 kg","Steadfast,Inner Focus,Prankster",40,70,40,35,40,60,285
Lucario,"FIGHTING,STEEL","1.2 m, 54 kg","Steadfast,Inner Focus,Justified",70,110,70,115,70,90,525
Lucario-Mega,"FIGHTING,STEEL","1.3 m, 57.5 kg",Adaptability,70,145,88,140,70,112,625
Hippopotas,GROUND,"0.8 m, 49.5 kg","Sand Stream,Sand Force",68,72,78,38,42,32,330
Hippowdon,GROUND,"2 m, 300 kg","Sand Stream,Sand Force",108,112,118,68,72,47,525
Skorupi,"POISON,BUG","0.8 m, 12 kg","Battle Armor,Sniper,Keen Eye",40,50,90,30,55,65,330
Drapion,"POISON,DARK","1.3 m, 61.5 kg","Battle Armor,Sniper,Keen Eye",70,90,110,60,75,95,500
Croagunk,"POISON,FIGHTING","0.7 m, 23 kg","Anticipation,Dry Skin,Poison Touch",48,61,40,61,40,50,300
Toxicroak,"POISON,FIGHTING","1.3 m, 44.4 kg","Anticipation,Dry Skin,Poison Touch",83,106,65,86,65,85,490
Carnivine,GRASS,"1.4 m, 27 kg",Levitate,74,100,72,90,72,46,454
Finneon,WATER,"0.4 m, 7 kg","Swift Swim,Storm Drain,Water Veil",49,49,56,49,61,66,330
Lumineon,WATER,"1.2 m, 24 kg","Swift Swim,Storm Drain,Water Veil",69,69,76,69,86,91,460
Mantyke,"WATER,FLYING","1 m, 65 kg","Swift Swim,Water Absorb,Water Veil",45,20,50,60,120,50,345
Snover,"GRASS,ICE","1 m, 50.5 kg","Snow Warning,Soundproof",60,62,50,62,60,40,334
Abomasnow,"GRASS,ICE","2.2 m, 135.5 kg","Snow Warning,Soundproof",90,92,75,92,85,60,494
Abomasnow-Mega,"GRASS,ICE","2.7 m, 185 kg",Snow Warning,90,132,105,132,105,30,594
Weavile,"DARK,ICE","1.1 m, 34 kg","Pressure,Pickpocket",70,120,65,45,85,125,510
Magnezone,"ELECTRIC,STEEL","1.2 m, 180 kg","Magnet Pull,Sturdy,Analytic",70,70,115,130,90,60,535
Lickilicky,NORMAL,"1.7 m, 140 kg","Own Tempo,Oblivious,Cloud Nine",110,85,95,80,95,50,515
Rhyperior,"GROUND,ROCK","2.4 m, 282.8 kg","Lightning Rod,Solid Rock,Reckless",115,140,130,55,55,40,535
Tangrowth,GRASS,"2 m, 128.6 kg","Chlorophyll,Leaf Guard,Regenerator",100,100,125,110,50,50,535
Electivire,ELECTRIC,"1.8 m, 138.6 kg","Motor Drive,Vital Spirit",75,123,67,95,85,95,540
Magmortar,FIRE,"1.6 m, 68 kg","Flame Body,Vital Spirit",75,95,67,125,95,83,540
Togekiss,"FAIRY,FLYING","1.5 m, 38 kg","Hustle,Serene Grace,Super Luck",85,50,95,120,115,80,545
Yanmega,"BUG,FLYING","1.9 m, 51.5 kg","Speed Boost,Tinted Lens,Frisk",86,76,86,116,56,95,515
Leafeon,GRASS,"1 m, 25.5 kg","Leaf Guard,Chlorophyll",65,110,130,60,65,95,525
Glaceon,ICE,"0.8 m, 25.9 kg","Snow Cloak,Ice Body",65,60,110,130,95,65,525
Gliscor,"GROUND,FLYING","2 m, 42.5 kg","Hyper Cutter,Sand Veil,Poison Heal",75,95,125,45,75,95,510
Mamoswine,"ICE,GROUND","2.5 m, 291 kg","Oblivious,Snow Cloak,Thick Fat",110,130,80,70,60,80,530
Porygon-Z,NORMAL,"0.9 m, 34 kg","Adaptability,Download,Analytic",85,80,70,135,75,90,535
Gallade,"PSYCHIC,FIGHTING","1.6 m, 52 kg","Steadfast,Justified",68,125,65,65,115,80,518
Gallade-Mega,"PSYCHIC,FIGHTING","1.6 m, 56.4 kg",Inner Focus,68,165,95,65,115,110,618
Probopass,"ROCK,STEEL","1.4 m, 340 kg","Sturdy,Magnet Pull,Sand Force",60,55,145,75,150,40,525
Dusknoir,GHOST,"2.2 m, 106.6 kg","Pressure,Frisk",45,100,135,65,135,45,525
Froslass,"ICE,GHOST","1.3 m, 26.6 kg","Snow Cloak,Cursed Body",70,80,70,80,70,110,480
Rotom,"ELECTRIC,GHOST","0.3 m, 0.3 kg",Levitate,50,50,77,95,77,91,440
Rotom-Heat,"ELECTRIC,FIRE","0.3 m, 0.3 kg",Levitate,50,65,107,105,107,86,520
Rotom-Wash,"ELECTRIC,WATER","0.3 m, 0.3 kg",Levitate,50,65,107,105,107,86,520
Rotom-Frost,"ELECTRIC,ICE","0.3 m, 0.3 kg",Levitate,50,65,107,105,107,86,520
Rotom-Fan,"ELECTRIC,FLYING","0.3 m, 0.3 kg",Levitate,50,65,107,105,107,86,520
Rotom-Mow,"ELECTRIC,GRASS","0.3 m, 0.3 kg",Levitate,50,65,107,105,107,86,520
Uxie,PSYCHIC,"0.3 m, 0.3 kg",Levitate,75,75,130,75,130,95,580
Mesprit,PSYCHIC,"0.3 m, 0.3 kg",Levitate,80,105,105,105,105,80,580
Azelf,PSYCHIC,"0.3 m, 0.3 kg",Levitate,75,125,70,125,70,115,580
Dialga,"STEEL,DRAGON","5.4 m, 683 kg","Pressure,Telepathy",100,120,120,150,100,90,680
Palkia,"WATER,DRAGON","4.2 m, 336 kg","Pressure,Telepathy",90,120,100,150,120,100,680
Heatran,"FIRE,STEEL","1.7 m, 430 kg","Flash Fire,Flame Body",91,90,106,130,106,77,600
Regigigas,NORMAL,"3.7 m, 420 kg",Slow Start,110,160,110,80,110,100,670
Giratina,"GHOST,DRAGON","4.5 m, 750 kg","Pressure,Telepathy",150,100,120,100,120,90,680
Giratina-Origin,"GHOST,DRAGON","6.9 m, 650 kg",Levitate,150,120,100,120,100,90,680
Cresselia,PSYCHIC,"1.5 m, 85.6 kg",Levitate,120,70,120,75,130,85,600
Phione,WATER,"0.4 m, 3.1 kg",Hydration,80,80,80,80,80,80,480
Manaphy,WATER,"0.3 m, 1.4 kg",Hydration,100,100,100,100,100,100,600
Darkrai,DARK,"1.5 m, 50.5 kg",Bad Dreams,70,90,90,135,90,125,600
Shaymin,GRASS,"0.2 m, 2.1 kg",Natural Cure,100,100,100,100,100,100,600
Shaymin-Sky,"GRASS,FLYING","0.4 m, 5.2 kg",Serene Grace,100,103,75,120,75,127,600
Arceus,NORMAL,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Bug,BUG,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Dark,DARK,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Dragon,DRAGON,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Electric,ELECTRIC,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Fairy,FAIRY,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Fighting,FIGHTING,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Fire,FIRE,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Flying,FLYING,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Ghost,GHOST,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Grass,GRASS,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Ground,GROUND,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Ice,ICE,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Poison,POISON,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Psychic,PSYCHIC,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Rock,ROCK,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Steel,STEEL,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Arceus-Water,WATER,"3.2 m, 320 kg",Multitype,120,120,120,120,120,120,720
Victini,"PSYCHIC,FIRE","0.4 m, 4 kg",Victory Star,100,100,100,100,100,100,600
Snivy,GRASS,"0.6 m, 8.1 kg","Overgrow,Contrary",45,45,55,45,55,63,308
Servine,GRASS,"0.8 m, 16 kg","Overgrow,Contrary",60,60,75,60,75,83,413
Serperior,GRASS,"3.3 m, 63 kg","Overgrow,Contrary",75,75,95,75,95,113,528
Tepig,FIRE,"0.5 m, 9.9 kg","Blaze,Thick Fat",65,63,45,45,45,45,308
Pignite,"FIRE,FIGHTING","1 m, 55.5 kg","Blaze,Thick Fat",90,93,55,70,55,55,418
Emboar,"FIRE,FIGHTING","1.6 m, 150 kg","Blaze,Reckless",110,123,65,100,65,65,528
Oshawott,WATER,"0.5 m, 5.9 kg","Torrent,Shell Armor",55,55,45,63,45,45,308
Dewott,WATER,"0.8 m, 24.5 kg","Torrent,Shell Armor",75,75,60,83,60,60,413
Samurott,WATER,"1.5 m, 94.6 kg","Torrent,Shell Armor",95,100,85,108,70,70,528
Patrat,NORMAL,"0.5 m, 11.6 kg","Run Away,Keen Eye,Analytic",45,55,39,35,39,42,255
Watchog,NORMAL,"1.1 m, 27 kg","Illuminate,Keen Eye,Analytic",60,85,69,60,69,77,420
Lillipup,NORMAL,"0.4 m, 4.1 kg","Vital Spirit,Pickup,Run Away",45,60,45,25,45,55,275
Herdier,NORMAL,"0.9 m, 14.7 kg","Intimidate,Sand Rush,Scrappy",65,80,65,35,65,60,370
Stoutland,NORMAL,"1.2 m, 61 kg","Intimidate,Sand Rush,Scrappy",85,110,90,45,90,80,500
Purrloin,DARK,"0.4 m, 10.1 kg","Limber,Unburden,Prankster",41,50,37,50,37,66,281
Liepard,DARK,"1.1 m, 37.5 kg","Limber,Unburden,Prankster",64,88,50,88,50,106,446
Pansage,GRASS,"0.6 m, 10.5 kg","Gluttony,Overgrow",50,53,48,53,48,64,316
Simisage,GRASS,"1.1 m, 30.5 kg","Gluttony,Overgrow",75,98,63,98,63,101,498
Pansear,FIRE,"0.6 m, 11 kg","Gluttony,Blaze",50,53,48,53,48,64,316
Simisear,FIRE,"1 m, 28 kg","Gluttony,Blaze",75,98,63,98,63,101,498
Panpour,WATER,"0.6 m, 13.5 kg","Gluttony,Torrent",50,53,48,53,48,64,316
Simipour,WATER,"1 m, 29 kg","Gluttony,Torrent",75,98,63,98,63,101,498
Munna,PSYCHIC,"0.6 m, 23.3 kg","Forewarn,Synchronize,Telepathy",76,25,45,67,55,24,292
Musharna,PSYCHIC,"1.1 m, 60.5 kg","Forewarn,Synchronize,Telepathy",116,55,85,107,95,29,487
Pidove,"NORMAL,FLYING","0.3 m, 2.1 kg","Big Pecks,Super Luck,Rivalry",50,55,50,36,30,43,264
Tranquill,"NORMAL,FLYING","0.6 m, 15 kg","Big Pecks,Super Luck,Rivalry",62,77,62,50,42,65,358
Unfezant,"NORMAL,FLYING","1.2 m, 29 kg","Big Pecks,Super Luck,Rivalry",80,115,80,65,55,93,488
Blitzle,ELECTRIC,"0.8 m, 29.8 kg","Lightning Rod,Motor Drive,Sap Sipper",45,60,32,50,32,76,295
Zebstrika,ELECTRIC,"1.6 m, 79.5 kg","Lightning Rod,Motor Drive,Sap Sipper",75,100,63,80,63,116,497
Roggenrola,ROCK,"0.4 m, 18 kg","Sturdy,Weak Armor,Sand Force",55,75,85,25,25,15,280
Boldore,ROCK,"0.9 m, 102 kg","Sturdy,Weak Armor,Sand Force",70,105,105,50,40,20,390
Gigalith,ROCK,"1.7 m, 260 kg","Sturdy,Sand Stream,Sand Force",85,135,130,60,80,25,515
Woobat,"PSYCHIC,FLYING","0.4 m, 2.1 kg","Unaware,Klutz,Simple",65,45,43,55,43,72,323
Swoobat,"PSYCHIC,FLYING","0.9 m, 10.5 kg","Unaware,Klutz,Simple",67,57,55,77,55,114,425
Drilbur,GROUND,"0.3 m, 8.5 kg","Sand Rush,Sand Force,Mold Breaker",60,85,40,30,45,68,328
Excadrill,"GROUND,STEEL","0.7 m, 40.4 kg","Sand Rush,Sand Force,Mold Breaker",110,135,60,50,65,88,508
Audino,NORMAL,"1.1 m, 31 kg","Healer,Regenerator,Klutz",103,60,86,60,86,50,445
Audino-Mega,"NORMAL,FAIRY","1.5 m, 32 kg",Healer,103,60,126,80,126,50,545
Timburr,FIGHTING,"0.6 m, 12.5 kg","Guts,Sheer Force,Iron Fist",75,80,55,25,35,35,305
Gurdurr,FIGHTING,"1.2 m, 40 kg","Guts,Sheer Force,Iron Fist",85,105,85,40,50,40,405
Conkeldurr,FIGHTING,"1.4 m, 87 kg","Guts,Sheer Force,Iron Fist",105,140,95,55,65,45,505
Tympole,WATER,"0.5 m, 4.5 kg","Swift Swim,Hydration,Water Absorb",50,50,40,50,40,64,294
Palpitoad,"WATER,GROUND","0.8 m, 17 kg","Swift Swim,Hydration,Water Absorb",75,65,55,65,55,69,384
Seismitoad,"WATER,GROUND","1.5 m, 62 kg","Swift Swim,Poison Touch,Water Absorb",105,95,75,85,75,74,509
Throh,FIGHTING,"1.3 m, 55.5 kg","Guts,Inner Focus,Mold Breaker",120,100,85,30,85,45,465
Sawk,FIGHTING,"1.4 m, 51 kg","Sturdy,Inner Focus,Mold Breaker",75,125,75,30,75,85,465
Sewaddle,"BUG,GRASS","0.3 m, 2.5 kg","Swarm,Chlorophyll,Overcoat",45,53,70,40,60,42,310
Swadloon,"BUG,GRASS","0.5 m, 7.3 kg","Leaf Guard,Chlorophyll,Overcoat",55,63,90,50,80,42,380
Leavanny,"BUG,GRASS","1.2 m, 20.5 kg","Swarm,Chlorophyll,Overcoat",75,103,80,70,80,92,500
Venipede,"BUG,POISON","0.4 m, 5.3 kg","Poison Point,Swarm,Speed Boost",30,45,59,30,39,57,260
Whirlipede,"BUG,POISON","1.2 m, 58.5 kg","Poison Point,Swarm,Speed Boost",40,55,99,40,79,47,360
Scolipede,"BUG,POISON","2.5 m, 200.5 kg","Poison Point,Swarm,Speed Boost",60,100,89,55,69,112,485
Cottonee,"GRASS,FAIRY","0.3 m, 0.6 kg","Prankster,Infiltrator,Chlorophyll",40,27,60,37,50,66,280
Whimsicott,"GRASS,FAIRY","0.7 m, 6.6 kg","Prankster,Infiltrator,Chlorophyll",60,67,85,77,75,116,480
Petilil,GRASS,"0.5 m, 6.6 kg","Chlorophyll,Own Tempo,Leaf Guard",45,35,50,70,50,30,280
Lilligant,GRASS,"1.1 m, 16.3 kg","Chlorophyll,Own Tempo,Leaf Guard",70,60,75,110,75,90,480
Basculin,WATER,"1 m, 18 kg","Reckless,Adaptability,Mold Breaker",70,92,65,80,55,98,460
Basculin-Blue-Striped,WATER,"1 m, 18 kg","Rock Head,Adaptability,Mold Breaker",70,92,65,80,55,98,460
Sandile,"GROUND,DARK","0.7 m, 15.2 kg","Intimidate,Moxie,Anger Point",50,72,35,35,35,65,292
Krokorok,"GROUND,DARK","1 m, 33.4 kg","Intimidate,Moxie,Anger Point",60,82,45,45,45,74,351
Krookodile,"GROUND,DARK","1.5 m, 96.3 kg","Intimidate,Moxie,Anger Point",95,117,80,65,70,92,519
Darumaka,FIRE,"0.6 m, 37.5 kg","Hustle,Inner Focus",70,90,45,15,45,50,315
Darumaka-Galar,ICE,"0.7 m, 40 kg","Hustle,Inner Focus",70,90,45,15,45,50,315
Darmanitan,FIRE,"1.3 m, 92.9 kg","Sheer Force,Zen Mode",105,140,55,30,55,95,480
Darmanitan-Zen,"FIRE,PSYCHIC","1.3 m, 92.9 kg",Zen Mode,105,30,105,140,105,55,540
Darmanitan-Galar,ICE,"1.7 m, 120 kg","Gorilla Tactics,Zen Mode",105,140,55,30,55,95,480
Darmanitan-Galar-Zen,"ICE,FIRE","1.7 m, 120 kg",Zen Mode,105,160,55,30,55,135,540
Maractus,GRASS,"1 m, 28 kg","Water Absorb,Chlorophyll,Storm Drain",75,86,67,106,67,60,461
Dwebble,"BUG,ROCK","0.3 m, 14.5 kg","Sturdy,Shell Armor,Weak Armor",50,65,85,35,35,55,325
Crustle,"BUG,ROCK","1.4 m, 200 kg","Sturdy,Shell Armor,Weak Armor",70,105,125,65,75,45,485
Scraggy,"DARK,FIGHTING","0.6 m, 11.8 kg","Shed Skin,Moxie,Intimidate",50,75,70,35,70,48,348
Scrafty,"DARK,FIGHTING","1.1 m, 30 kg","Shed Skin,Moxie,Intimidate",65,90,115,45,115,58,488
Sigilyph,"PSYCHIC,FLYING","1.4 m, 14 kg","Wonder Skin,Magic Guard,Tinted Lens",72,58,80,103,80,97,490
Yamask,GHOST,"0.5 m, 1.5 kg",Mummy,38,30,85,55,65,30,303
Yamask-Galar,"GROUND,GHOST","0.5 m, 1.5 kg",Wandering Spirit,38,55,85,30,65,30,303
Cofagrigus,GHOST,"1.7 m, 76.5 kg",Mummy,58,50,145,95,105,30,483
Tirtouga,"WATER,ROCK","0.7 m, 16.5 kg","Solid Rock,Sturdy,Swift Swim",54,78,103,53,45,22,355
Carracosta,"WATER,ROCK","1.2 m, 81 kg","Solid Rock,Sturdy,Swift Swim",74,108,133,83,65,32,495
Archen,"ROCK,FLYING","0.5 m, 9.5 kg",Defeatist,55,112,45,74,45,70,401
Archeops,"ROCK,FLYING","1.4 m, 32 kg",Defeatist,75,140,65,112,65,110,567
Trubbish,POISON,"0.6 m, 31 kg","Stench,Sticky Hold,Aftermath",50,50,62,40,62,65,329
Garbodor,POISON,"1.9 m, 107.3 kg","Stench,Weak Armor,Aftermath",80,95,82,60,82,75,474
Garbodor-Gmax,POISON,"21 m, 0 kg","Stench,Weak Armor,Aftermath",80,95,82,60,82,75,474
Zorua,DARK,"0.7 m, 12.5 kg",Illusion,40,65,40,80,40,65,330
Zoroark,DARK,"1.6 m, 81.1 kg",Illusion,60,105,60,120,60,105,510
Minccino,NORMAL,"0.4 m, 5.8 kg","Cute Charm,Technician,Skill Link",55,50,40,40,40,75,300
Cinccino,NORMAL,"0.5 m, 7.5 kg","Cute Charm,Technician,Skill Link",75,95,60,65,60,115,470
Gothita,PSYCHIC,"0.4 m, 5.8 kg","Frisk,Competitive,Shadow Tag",45,30,50,55,65,45,290
Gothorita,PSYCHIC,"0.7 m, 18 kg","Frisk,Competitive,Shadow Tag",60,45,70,75,85,55,390
Gothitelle,PSYCHIC,"1.5 m, 44 kg","Frisk,Competitive,Shadow Tag",70,55,95,95,110,65,490
Solosis,PSYCHIC,"0.3 m, 1 kg","Overcoat,Magic Guard,Regenerator",45,30,40,105,50,20,290
Duosion,PSYCHIC,"0.6 m, 8 kg","Overcoat,Magic Guard,Regenerator",65,40,50,125,60,30,370
Reuniclus,PSYCHIC,"1 m, 20.1 kg","Overcoat,Magic Guard,Regenerator",110,65,75,125,85,30,490
Ducklett,"WATER,FLYING","0.5 m, 5.5 kg","Keen Eye,Big Pecks,Hydration",62,44,50,44,50,55,305
Swanna,"WATER,FLYING","1.3 m, 24.2 kg","Keen Eye,Big Pecks,Hydration",75,87,63,87,63,98,473
Vanillite,ICE,"0.4 m, 5.7 kg","Ice Body,Snow Cloak,Weak Armor",36,50,50,65,60,44,305
Vanillish,ICE,"1.1 m, 41 kg","Ice Body,Snow Cloak,Weak Armor",51,65,65,80,75,59,395
Vanilluxe,ICE,"1.3 m, 57.5 kg","Ice Body,Snow Warning,Weak Armor",71,95,85,110,95,79,535
Deerling,"NORMAL,GRASS","0.6 m, 19.5 kg","Chlorophyll,Sap Sipper,Serene Grace",60,60,50,40,50,75,335
Sawsbuck,"NORMAL,GRASS","1.9 m, 92.5 kg","Chlorophyll,Sap Sipper,Serene Grace",80,100,70,60,70,95,475
